"COMP_ID","COMP_NM","COMP_LONG_NM","ISIN_CODE","TICKER"
"10380",Cochin Shipyard Limited,,,
"10143",Kanpur Plastipa.,Kanpur Plastipack Ltd,INE694E01014,
"10481",Ortel Communication,,,
"10681",Aspire Housing Finance,,,
"10890",GSPC LTD,,,
"10381",Diakin India ,,,
"10543",Quintiles IMS holdings Inc,,,
"10227",MSP Steel & Pow.,MSP Steel & Power Ltd,INE752G01015,
"10469",B H E L,Bharat Heavy Electricals Ltd,INE257A01026,NBHEL IN Equity
"10320",Just Dial.Com,,,
"10801",GEECEE VENTURES,,,
"10557",ECE Inds.,ECE Industries Ltd,INE588B01014,
"10942",Williams Companies Inc,,,
"10344",Green Gold Animation Pvt Ltd,,,
"11070",Onward Technolog,Onward Technologies Ltd,INE229A01017,
"11194",Salzer Electron.,Salzer Electronics Ltd,INE457F01013,
"10483",Omaxe,,INE800H01010,
"10691",NLC Ltd (Neyveli Lignite Copn Ltd,,,
"11088",HCL Technologies,HCL Technologies Ltd,INE860A01027,NHCLT IN Equity
"10289",Bombay Burmah,Bombay Burmah Trading Corporation Ltd,INE050A01025,
"10178",Shree Ganesh Jewellery House Ltd,,,
"11083",Diamines & Chem.,Diamines & Chemicals  Ltd,INE591D01014,
"10553",Centum Retail,,,
"10142",Kabra Extrusion,Kabra Extrusion Technik Ltd,INE900B01029,
"10632",Pyramid Saimira,,,
"10529",Vijaya Bank,Vijaya Bank,INE705A01016,NVJYBK IN Equity
"11157",R C F,Rashtriya Chemicals & Fertilizers Ltd,INE027A01015,
"10384",Ind Bharath Power Infra Ltd,,,
"10610",ONGC Videsh Ltd,,,
"10426",Forbes Marshal Group,,,
"10310",SJVN Ltd,,INE002L01015,
"10266",LIC OF INDIA,,,
"10584",Hinduja TMT,Hinduja TMT Ltd,INE353A01023,
"10458",Kanchan Intl.,Kanchan International Ltd,,
"10757",Guj. Inds. Power,Gujarat Industries Power Co Ltd,INE162A01010,
"10675",Vadilal Inds.,Vadilal Industries Ltd,INE694D01016,
"11472",Prithvi Info,Prithvi Information Solutions Ltd,INE700C01013,
"10313",Woolworths India,,,
"10496",Emerson Electric Co,,,
"10925",Jayant Agro Org.,Jayant Agro Organics Ltd,INE785A01026,
"10563",Patni Computer,Patni Computer Systems Ltd,,NPATNI IN Equity
"10664",DFCC,,,
"10928",Kamdhenu Ispat Ltd,Kamdhenu Ispat Ltd,INE390H01012,NKAMI IN Equity
"10728",BGR Mining & Infra Pvt Ltd,,,
"10823",Exide Inds,Exide Industries Ltd,INE302A01020,NCHLR IN Equity
"11142",Bihar Tubes,Bihar Tubes Ltd,,
"10575",Avenue Supermarket,,,
"10613",RSWM Ltd,RSWM Ltd,INE611A01016,
"10803",Hind.Oil Explor,Hindustan Oil Exploration Company Ltd,INE345A01011,NHOE IN Equity
"10272",Pincon Spirits,,,
"10390",Mundra Ports,Mundra Ports,,
"10091",SME Bots,,,
"10983",Grofers B2B,,,
"10663",C Mahendra Exports Ltd,,INE378J01013,
"10332",Riverdale Foods,Riverdale Foods Ltd,,
"10497",EIH,EIH Ltd,INE230A01023,NEIH IN Equity
"10804",HealthCare Global Enterprises Ltd(HCG),,,
"10751",Zuari Inds.,Zuari Industries Ltd,INE217A01012,NZUAR IN Equity
"10400",Waters Corp,,,
"11071",Ramkrishna Forg.,Ramkrishna Forgings Ltd,INE399G01015,
"10545",Shree Pushkar and Chemicals Ltd,,,
"10196",Inox Wind,,INE066P01011,
"11225",Futura Polyester,Futura Polyesters Ltd,,
"10905",Future Retail Ltd,,,
"10938",Tata Motors Finance,,,
"10532",Canara Bank,Canara Bank,INE476A01014,NCBK IN Equity
"10582",Fame India,Feme India,,
"10421",Accelya Kale,,INE793A01012,
"10573",Aircel,,,
"10354",Skipper Ltd,,INE439E01022,
"10870",Divi's Lab,Divis Laboratories Ltd,INE361B01024,NDIVI IN Equity
"10588",Mobikwik,,,
"11040",MISYS,,,
"10440",Procter & Gamble Co (US Company),,,
"11445",JCT Electronics,JCT Electronics Ltd,INE264B01020,
"11199",TulipTelecom Ltd,TulipTelecom Ltd,INE122H01027,
"10835",Steel Exchange,Steel Exchange India Ltd,INE503B01013,
"10745",Spectra Energy Corp ,,,
"11170",D S Kulkarni Dev,D S Kulkarni Developers Ltd,INE891A01014,
