"Name","Code","Type_","Period_","STMTYPECODE","ITEM","COA","Value_","Desc_","Unit","IsCurrency","Consolidated"
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",2,931,FTLF,13543.6,Cash from Financing Activities,M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",2,933,SNCC,72.9,Net Change in Cash,M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",2,934,SNCB,64.4,Net Cash - Beginning Balance,M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",2,935,SNCE,137.3,Net Cash - Ending Balance,M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",2,1140,SCWC,-76897.6,Net Changes in Working Capital,M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",2,1172,VLLR,-8010.3,"Lease liability Reduced, Supplemental",M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",3,437,ACAE,5416.0,Cash & Equivalents, ,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",3,438,ASTI,13686.6,Short Term Investments, ,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",3,439,SCSI,19102.6,Cash and Short Term Investments, ,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",3,440,AARG,83087.2,"Accounts Receivable - Trade, Gross", ,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",3,442,AACR,83087.2,"Accounts Receivable - Trade, Net", ,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",3,443,ASTR,283.1,Notes Receivable - Short Term, ,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",3,444,AORC,4331.1,Receivables - Other, ,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",3,445,ATRC,87701.4,"Total Receivables, Net", ,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",3,453,AITL,326455.8,Total Inventory, ,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",3,459,ADCA,151.1,Discontinued Operations - Current Asset, ,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",3,460,AOCA,45410.5,Other Current Assets, ,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",3,461,SOCA,45561.6,"Other Current Assets, Total", ,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",3,462,ATCA,478821.4,Total Current Assets, ,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",3,489,APPN,770583.3,"Property/Plant/Equipment, Total - Net", ,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",3,495,AINT,14888.4,"Intangibles, Net", ,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",3,503,ALTI,21393.0,LT Investments - Other, ,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",3,504,SINV,21393.0,Long Term Investments, ,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",3,506,ALTR,12520.0,Note Receivable - Long Term, ,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",3,512,AOAS,77118.4,Other Long Term Assets, ,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",3,513,SOLA,77118.4,"Other Long Term Assets, Total", ,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",3,523,ATOT,1375324.5,Total Assets, ,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",3,524,LAPB,153323.9,Accounts Payable, ,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",3,547,LSTD,0.0,Notes Payable/Short Term Debt, ,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",3,548,LCLD,215115.2,Current Port. of  LT Debt/Capital Leases, ,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",3,552,LTXP,2088.3,Income Taxes Payable, ,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",3,556,LOCL,163727.4,Other Current Liabilities, ,1,0
