"Name","Code","Type_","Period_","STMTYPECODE","ITEM","COA","Value_","Desc_","Unit","IsCurrency","Consolidated"
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",1,129,TTAX,297.901,Provision for Income Taxes,M,1,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",1,130,TIAT,782.156,Net Income After Taxes,M,1,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",1,134,NIBX,782.156,Net Income Before Extra. Items,M,1,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",1,140,NINC,782.156,Net Income,M,1,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",1,147,CIAC,782.156,Income Available to Com Excl ExtraOrd,M,1,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",1,148,XNIC,782.156,Income Available to Com Incl ExtraOrd,M,1,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",1,149,SBAS,217.58659,Basic Weighted Average Shares,M,0,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",1,150,SBBF,3.59469,Basic EPS Excluding Extraordinary Items,M,1,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",1,151,SBAI,3.59469,Basic EPS Including Extraordinary Items,M,1,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",1,153,SDNI,782.156,Diluted Net Income,M,1,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",1,154,SDWS,217.58659,Diluted Weighted Average Shares,M,0,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",1,155,SDBF,3.59469,Diluted EPS Excluding ExtraOrd Items,M,1,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",1,156,SDAI,3.59469,Diluted EPS Including ExtraOrd Items,M,1,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",1,157,DDPS1,5.0,DPS - Common Stock Primary Issue,M,1,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",1,173,VDEP,143.852,"Depreciation, Supplemental",M,1,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",1,175,STSI,50.417,Total Special Items,M,1,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",1,176,VPTI,1130.474,Normalized Income Before Taxes,M,1,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",1,177,STEC,13.906,Effect of Special Items on Income Taxes,M,1,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",1,178,VITN,311.807,Inc Tax Ex Impact of Sp Items,M,1,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",1,179,VIAT,818.667,Normalized Income After Taxes,M,1,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",1,180,VIAC,818.667,Normalized Inc. Avail to Com.,M,1,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",1,181,VBES,3.76249,Basic Normalized EPS,M,1,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",1,182,VDES,3.76249,Diluted Normalized EPS,M,1,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",1,209,SGPP,75.81812,Gross Margin,M,0,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",1,210,SOPP,22.193,Operating Margin,M,0,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",1,211,SPTM,25.09294,Pretax Margin,M,0,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",1,212,SETR,27.58197,Effective Tax Rate,M,0,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",1,213,SNPM,18.17181,Net Profit Margin,M,0,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",1,214,SBIT,1005.654,Normalized EBIT,M,1,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",1,215,SBDA,1149.506,Normalized EBITDA,M,1,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",1,221,VCTR,323.139,Current Tax - Total,M,1,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",1,222,VCTC,323.139,Current Tax - Total,M,1,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",1,227,VDTR,-25.238,Deferred Tax - Total,M,1,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",1,228,VDTC,-25.238,Deferred Tax - Total,M,1,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",1,233,VITT,297.901,Income Tax - Total,M,1,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",1,999,SNIN,-49.552,"Interest Inc.(Exp.),Net-Non-Op., Total",M,1,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",1,1068,VLAR,788.01,Labor & Related Expense Suppl.,M,1,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",2,834,ONET,3253.974,Net Income/Starting Line,M,1,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",2,835,SDEP,533.215,Depreciation,M,1,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",2,837,SDED,533.215,Depreciation/Depletion,M,1,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",2,846,OUIE,-119.875,Unusual Items,M,1,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",2,849,ONCI,-72.239,Other Non-Cash Items,M,1,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",2,850,SNCI,-192.114,Non-Cash Items,M,1,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",2,853,SCTP,718.366,Cash Taxes Paid,M,1,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",2,854,SCIP,283.596,Cash Interest Paid,M,1,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",2,856,OACR,-553.866,Accounts Receivable,M,1,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",2,857,OITL,361.891,Inventories,M,1,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",2,859,OOAS,-99.556,Other Assets,M,1,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",2,860,OAPB,6.993,Accounts Payable,M,1,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",2,864,OOLB,52.384,Other Liabilities,M,1,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",2,866,OOCF,-718.366,Other Operating Cash Flow,M,1,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",2,880,SOCF,-950.52,Changes in Working Capital,M,1,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",2,881,OTLO,2644.555,Cash from Operating Activities,M,1,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",2,882,ICEX,-233.284,Purchase of Fixed Assets,M,1,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",2,883,IIAQ,-47.0,Purchase/Acquisition of Intangibles,M,1,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",2,885,SCEX,-280.284,Capital Expenditures,M,1,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",2,888,ISFA,169.775,Sale of Fixed Assets,M,1,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",2,889,IINS,4985.282,Sale/Maturity of Investment,M,1,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",2,890,IIVN,-1127.043,"Investment, Net",M,1,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",2,891,IINP,-3538.597,Purchase of Investments,M,1,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",2,899,IICF,212.951,Other Investing Cash Flow,M,1,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",2,900,SICF,702.368,"Other Investing Cash Flow Items, Total",M,1,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",2,901,ITLI,422.084,Cash from Investing Activities,M,1,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",2,905,FFCF,-1000.403,Other Financing Cash Flow,M,1,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",2,906,SFCF,-1000.403,Financing Cash Flow Items,M,1,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",2,907,FDPC,-0.062,Cash Dividends Paid - Common,M,1,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",2,909,FCDP,-0.062,Total Cash Dividends Paid,M,1,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",2,924,FSDN,-37.586,"Short Term Debt, Net",M,1,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",2,926,FLDR,-1877.226,Long Term Debt Reduction,M,1,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",2,927,FLDN,-1877.226,"Long Term Debt, Net",M,1,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",2,930,FPRD,-1914.812,"Issuance (Retirement) of Debt, Net",M,1,0
