"Ticker","Name_","Type_","Period_","EffectiveDate","ExpireDate","Measure_Code","Measure_Desc","UnitType","Curr","Value_","NumIncEsts"
HDFCBANK,HDFC Bank Ltd,Year,2025,2023-04-17 11:05:00.000,,NWC,Net Working Capital,Currency,INR,612280.0,1
HDFCBANK,HDFC Bank Ltd,Year,2025,2024-10-28 15:32:00.000,,PSR,Price/Sales Ratio,Percentage,,7.25,2
HDFCBANK,HDFC Bank Ltd,Year,2025,2023-04-17 11:05:00.000,,ROC,Return on Capital,Percentage,,19.3,1
HDFCBANK,HDFC Bank Ltd,Year,2025,2024-11-05 19:06:00.000,,TAXPROV,Tax Provision,Currency,INR,218707.07143,28
HDFCBANK,HDFC Bank Ltd,Year,2025,2024-10-21 10:29:00.000,,TAXRATE,Tax Rate,Percentage,,21.40294,17
HDFCBANK,HDFC Bank Ltd,Year,2025,2024-10-22 17:30:00.000,,MKTBLSEC,Cash & Mktbl. Sec.,Currency,INR,2170794.8,20
HDFCBANK,HDFC Bank Ltd,Year,2025,2024-07-22 07:36:00.000,,NETINTEXP,Net Interest Inc (Exp),Currency,INR,1372524.0,1
HDFCBANK,HDFC Bank Ltd,Year,2025,2024-10-21 13:52:00.000,,INTINC,Interest Income,Currency,INR,2948838.42857,7
HDFCBANK,HDFC Bank Ltd,Year,2025,2024-08-19 08:10:00.000,,CURRASSETS,Current Assets,Currency,INR,2186881.0,2
HDFCBANK,HDFC Bank Ltd,Year,2025,2024-10-21 10:29:00.000,,COSTFUNDS,Cost of Funds ,Percentage,,5.33,10
HDFCBANK,HDFC Bank Ltd,Year,2025,2024-07-22 07:07:00.000,,AVGIBL,Average Interest Bearing Liabilities,Currency,INR,16808407,2
HDFCBANK,HDFC Bank Ltd,Year,2025,2023-10-17 10:05:00.000,,EASSETYLD,Earning Asset Yield,Percentage,,8.6,1
HDFCBANK,HDFC Bank Ltd,Year,2025,2024-07-21 00:08:00.000,,TIER1CAP,Tier 1 Capital,Currency,INR,16.4,1
HDFCBANK,HDFC Bank Ltd,Year,2025,2024-10-21 13:52:00.000,,CIRATIO,Cost per Income Ratio,Percentage,,40.06191,21
HDFCBANK,HDFC Bank Ltd,Year,2025,2023-06-12 03:01:00.000,,TCRATIO,Total Capital Ratio,Percentage,,17.9,1
HDFCBANK,HDFC Bank Ltd,Year,2025,2024-10-21 10:29:00.000,,TOTALLIAB,Total Liabilities ,Currency,INR,39183567.57895,19
HDFCBANK,HDFC Bank Ltd,Year,2026,2024-11-05 19:06:00.000,,BVPS,Book Value Per Share,Currency,INR,724.56829,34
HDFCBANK,HDFC Bank Ltd,Year,2026,2024-10-21 15:44:00.000,,EPSCASH,Cash EPS,Currency,INR,103.256,1
HDFCBANK,HDFC Bank Ltd,Year,2026,2024-10-31 06:19:00.000,,DPS,Dividend Per Share,Currency,INR,23.12585,26
HDFCBANK,HDFC Bank Ltd,Year,2026,2024-11-13 23:32:07.457,,EBIT,EARNINGS BEFORE INTEREST AND TAXES,Currency,INR,1549000.0,1
HDFCBANK,HDFC Bank Ltd,Year,2026,2024-11-13 23:32:07.457,,EPS,Earnings Per Share,Currency,INR,138.0,1
HDFCBANK,HDFC Bank Ltd,Year,2026,2024-10-31 06:19:00.000,,EPSREP,As Reported EPS,Currency,INR,102.03959,34
HDFCBANK,HDFC Bank Ltd,Year,2026,2024-11-05 19:06:00.000,,NAV,Net Assets Value,Currency,INR,5546732.00233,27
HDFCBANK,HDFC Bank Ltd,Year,2026,2024-11-13 23:32:07.457,,NPROFIT,Net Income,Currency,INR,1043000.0,1
HDFCBANK,HDFC Bank Ltd,Year,2026,2024-11-13 23:32:07.457,,PPROFIT,Pretax Profit,Currency,INR,1383000.0,1
HDFCBANK,HDFC Bank Ltd,Year,2026,2024-11-05 19:06:00.000,,ROA,Return on Assets,Percentage,,1.85156,32
HDFCBANK,HDFC Bank Ltd,Year,2026,2024-11-05 19:06:00.000,,ROE,Return On Equity,Percentage,,14.85731,35
HDFCBANK,HDFC Bank Ltd,Year,2026,2024-11-05 19:06:00.000,,REV,Sales,Currency,INR,1973282.31614,35
HDFCBANK,HDFC Bank Ltd,Year,2026,2024-07-22 07:36:00.000,,CAPEX,Capital Expenditures,Currency,INR,18500.0,1
HDFCBANK,HDFC Bank Ltd,Year,2026,2024-11-05 19:06:00.000,,NPROFITREP,Reported Net Profit,Currency,INR,779444.12144,32
HDFCBANK,HDFC Bank Ltd,Year,2026,2024-11-05 19:06:00.000,,TBVPS,Tangible Book Value Per Share,Currency,INR,695.33846,26
