"Ticker","Name_","Type_","Period_","Measure_Code","Measure_Desc","UnitType","Curr","Value_"
TCS,Tata Consultancy Services Ltd,Year,2025,EBIT,Earnings Before Tax,Currency,INR,628317.14245
TCS,Tata Consultancy Services Ltd,Year,2025,ROC,Return on Capital,Percentage,,55.93774
TCS,Tata Consultancy Services Ltd,Year,2025,TOTDIV,Total Dividends,Currency,INR,367721.975
TCS,Tata Consultancy Services Ltd,Year,2025,DPS,Dividend Per Share,Currency,INR,108.711
TCS,Tata Consultancy Services Ltd,Year,2025,TAXPROV,Tax Provision,Currency,INR,166287.13793
TCS,Tata Consultancy Services Ltd,Year,2025,PPROFITREP,Reported Pretax Profit,Currency,INR,658563.88659
TCS,Tata Consultancy Services Ltd,Year,2025,MKTBLSEC,Cash & Mktbl. Sec.,Currency,INR,281136.33333
TCS,Tata Consultancy Services Ltd,Year,2026,TAXPROV,Tax Provision,Currency,INR,191423.13793
TCS,Tata Consultancy Services Ltd,Year,2026,EBIT,Earnings Before Tax,Currency,INR,714486.61826
TCS,Tata Consultancy Services Ltd,Year,2026,EPS,Earnings Per Share,Currency,INR,154.98407
TCS,Tata Consultancy Services Ltd,Year,2026,ROC,Return on Capital,Percentage,,58.44844
TCS,Tata Consultancy Services Ltd,Year,2026,TOTDIV,Total Dividends,Currency,INR,423248.16
TCS,Tata Consultancy Services Ltd,Year,2026,MKTBLSEC,Cash & Mktbl. Sec.,Currency,INR,373063.06667
TCS,Tata Consultancy Services Ltd,Year,2026,DPS,Dividend Per Share,Currency,INR,118.73047
TCS,Tata Consultancy Services Ltd,Year,2026,GPM,Gross Margin (Gross Profit Margin),Percentage,,40.7705
TCS,Tata Consultancy Services Ltd,Year,2026,PPROFITREP,Reported Pretax Profit,Currency,INR,756912.84522
TCS,Tata Consultancy Services Ltd,Year,2026,INCTAX,Income Taxes Paid,Currency,INR,190302.14286
TCS,Tata Consultancy Services Ltd,Year,2026,EBITDA,Earnings Before Interest Taxes and Depreciation,Currency,INR,768512.53969
TCS,Tata Consultancy Services Ltd,Year,2026,NPROFITREP,Reported Net Profit,Currency,INR,563064.27635
TCS,Tata Consultancy Services Ltd,Year,2026,EPSCASH,Cash EPS,Currency,INR,171.87764
TCS,Tata Consultancy Services Ltd,Year,2026,TOTALLIAB,Total Liabilities ,Currency,INR,1116533.52381
TCS,Tata Consultancy Services Ltd,Year,2026,FCF,Free Cash Flow,Currency,INR,518606.47263
TCS,Tata Consultancy Services Ltd,Year,2026,NWC,Net Working Capital,Currency,INR,548765.71429
TCS,Tata Consultancy Services Ltd,Year,2026,CURRLIAB,Current Liabilities,Currency,INR,550143.27778
TCS,Tata Consultancy Services Ltd,Year,2026,CURRASSETS,Current Assets,Currency,INR,1252492.88235
TCS,Tata Consultancy Services Ltd,Year,2026,EBITDAREP,EBITDA Reported,Currency,INR,775688.02778
